atr42s1g00971,nc476s13g00685,ive10g02166,agr8s11g00652,spo4s8g00476,abr7s1g00070,da480s2g00912,ase9s8g01364,elg3s4g01414,aco40s3g00166,cs471s13g01524,afi49s4g02920,lc2s3g00020,cm170s12g00495,CdeChr20g00280,vvi161s16g00987,gbi44s5g00093,sgi44s5g02802,afi61s11g00054,,
atr42s13g00281,nc476s4g01757,ive8g00522,agr8s7g00349,spo4s2g00828,abr7s1g01569,da480s16g00313,ase9s1g01299,elg3s4g00954,aco40s14g00301,cs471s9g00912,afi49s2g00648,lc2s8g01315,cm170s6g00487,CdeChr31g00475,vvi161s16g00295,gbi44s2g02141,,afi61s345g00017,smo62s17g00275,
atr42s13g00236,nc476s12g01045,ive8g00510,agr8s5g01482,spo4s9g00326,abr7s1g01587,da480s16g00289,ase9s1g02905,elg3s4g00980,aco40s8g00731,cs471s9g00895,afi49s2g00610,lc2s11g01155,cm170s1g02562,CdeChr19g00421,vvi161s2g00627,gbi44s1g00635,,afi61s17g00096,,ppa60s10g00022
atr42s3g02251,nc476s12g01629,ive13g00270,agr8s5g01570,spo4s11g00550,abr7s1g01663,da480s3g00061,ase9s1g02811,elg3s4g01077,aco40s9g00491,cs471s9g00827,afi49s7g01027,lc2s8g01529,cm170s6g00576,CdeChr25g00288,vvi161s16g00251,gbi44s2g01512,sgi44s11g00534,afi61s185g00010,smo62s11g00166,ppa60sscaffold_32g00025
atr42s10g00025,nc476s7g00951,ive11g01024,agr8s7g01444,spo4s3g00806,abr7s2g00393,da480s19g00115,ase9s10g00264,elg3s13g00105,aco40s15g00378,cs471s7g01378,afi49s7g00512,lc2s9g00531,cm170s1g01076,CdeChr11g00391,vvi161s17g00801,gbi44s4g00792,sgi44s4g03459,afi61s3g00244,smo62s62g00061,ppa60s2g00469
atr42s10g00110,nc476s7g00778,ive11g01048,agr8s9g00833,spo4s3g00824,abr7s2g00408,da480s19g00144,ase9s3g03237,elg3s13g00119,aco40s12g00559,cs471s2g00042,afi49s7g00926,lc2s13g00529,cm170s2g02024,CdeChr38g00408,vvi161s16g00618,gbi44s2g00356,,afi61s35g00078,smo62s6g00200,ppa60s19g00267
atr42s10g00147,nc476s7g00733,ive4g01378,agr8s3g01423,spo4s1g01441,abr7s2g00417,da480s19g00153,ase9s2g01106,elg3s6g00186,aco40s9g00046,cs471s7g01392,afi49s7g00419,lc2s13g00485,cm170s2g02047,CdeChr22g00282,vvi161s14g01726,,sgi44s3g00144,,,
atr42s2g00576,nc476s11g00394,ive6g01964,agr8s4g02065,spo4s8g01052,abr7s2g00459,da480s13g00310,ase9s2g01072,elg3s15g00117,aco40s9g00064,cs471s3g02318,afi49s1g01561,lc2s4g00537,cm170s9g01240,CdeChr23g00532,vvi161s1g00536,gbi44s10g01494,sgi44s9g02255,afi61s48g00065,,ppa60s5g00470
atr42s12g01344,nc476s3g02067,ive1g01480,agr8s9g01227,spo4s7g00223,abr7s2g00481,da480s13g00286,ase9s4g02034,elg3s15g00093,aco40s1g00329,cs471s1g00527,afi49s7g01578,lc2s13g00444,cm170s4g01403,CdeChr23g00134,vvi161s7g01667,gbi44s12g01778,sgi44s1g00765,afi61s250g00008,smo62s68g00014,ppa60s18g00031
atr42s1g02659,nc476s2g01200,ive3g00740,agr8s1g01214,spo4s6g00143,abr7s2g00587,da480s19g01662,ase9s7g00117,elg3s10g00285,aco40s13g00421,cs471s4g00525,afi49s1g02477,lc2s10g01039,cm170s10g00594,CdeChr3g00463,vvi161s14g00321,gbi44s8g01431,,,,
atr42s9g01098,nc476s10g00352,ive8g01472,agr8s5g01239,spo4s2g00790,abr7s2g00618,da480s14g01225,ase9s8g01030,elg3s11g00251,aco40s8g00567,cs471s12g01282,afi49s2g03777,lc2s11g00742,cm170s6g01522,CdeChr19g00589,vvi161s15g00733,gbi44s1g00539,sgi44s10g02105,afi61s2g00079,smo62s337g00001,ppa60s24g00399
atr42s6g02145,nc476s3g01447,ive1g03164,agr8s8g01744,spo4s2g01132,abr7s2g00688,da480s14g01114,ase9s1g02089,elg3s11g00420,aco40s8g00044,cs471s11g00117,afi49s5g01422,lc2s3g01310,cm170s12g00749,CdeChr30g00192,vvi161s5g01437,gbi44s1g00830,sgi44s10g02436,afi61s20g00059,smo62s35g00115,ppa60s26g00554
atr42s3g02688,nc476s2g01237,ive2g00881,agr8s8g00297,spo4s3g00193,abr7s2g00850,da480s13g00810,ase9s4g01672,elg3s3g01567,aco40s1g00051,cs471s1g02552,afi49s2g00107,lc2s8g00520,cm170s6g01773,CdeChr24g00432,vvi161s5g00550,gbi44s1g01980,sgi44s4g01220,afi61s19g00022,smo62s103g00009,ppa60s8g00946
atr42s7g00561,nc476s12g01233,ive14g00573,agr8s10g01085,spo4s9g00069,abr7s2g01023,da480s2g00812,ase9s1g00199,elg3s11g00124,aco40s3g00315,cs471s4g01818,afi49s4g02224,lc2s3g00795,cm170s12g00032,CdeChr16g00379,vvi161s4g00976,gbi44s4g02379,sgi44s8g00692,afi61s371g00012,smo62s13g00096,ppa60s1g00365
atr42s1g00402,nc476s4g01873,ive14g00403,agr8s10g01114,spo4s9g00051,abr7s2g01053,da480s2g00873,ase9s1g00140,elg3s4g01367,aco40s17g00601,cs471s15g01097,afi49s7g01893,lc2s15g00972,cm170s3g02847,CdeChr5g00327,vvi161s5g00816,gbi44s6g00232,,afi61s21g00025,,ppa60s17g00983
atr42s6g01128,nc476s5g00277,ive2g00916,agr8s2g00001,spo4s2g00422,abr7s2g01271,da480s19g00799,ase9s8g00344,elg3s4g00314,aco40s8g00125,cs471s6g02395,afi49s3g01567,lc2s2g01345,cm170s9g01078,CdeChr8g00393,vvi161s6g00947,gbi44s8g00286,sgi44s7g02883,afi61s79g00010,smo62s37g00110,ppa60s24g00144
atr42s9g00331,nc476s2g01597,ive8g01935,agr8s5g00181,spo4s2g00523,abr7s2g01435,da480s19g00885,ase9s1g00411,elg3s4g00225,aco40s9g00562,cs471s12g00280,afi49s6g01471,lc2s4g00871,cm170s8g00677,CdeChr12g00507,vvi161s4g00905,gbi44s9g00614,sgi44s9g01434,afi61s81g00051,smo62s123g00039,ppa60s1g00968
atr42s9g00326,nc476s9g00727,ive13g01581,agr8s7g02220,spo4s20g00351,abr7s2g01437,da480s1g00433,ase9s8g01494,elg3s4g00228,aco40s3g00698,cs471s2g02773,afi49s6g01467,lc2s4g00874,cm170s8g00671,CdeChr12g00508,vvi161s1g00610,,sgi44s8g02414,,,
atr42s9g02687,nc476s9g01697,ive8g00891,agr8s7g00711,spo4s2g01024,abr7s2g01553,da480s16g00381,ase9s8g00406,elg3s11g00380,aco40s9g00711,cs471s6g00891,afi49s2g01019,lc2s8g01077,cm170s7g01380,CdeChr32g00413,vvi161s16g01302,gbi44s4g01888,,afi61s10g00122,smo62s69g00054,ppa60s11g01167
atr42s12g01148,nc476s12g01095,ive13g00548,agr8s5g01435,spo4s2g00802,abr7s2g01609,da480s4g01828,ase9s8g01267,elg3s4g00930,aco40s9g00533,cs471s6g01217,afi49s2g00704,lc2s8g01269,cm170s7g01815,CdeChr19g00440,vvi161s15g00609,gbi44s4g00469,,afi61s197g00011,smo62s54g00116,ppa60s6g00540
atr42s1g00649,nc476s2g01571,ive5g00233,agr8s5g01486,spo4s19g00197,abr7s2g01654,da480s16g00287,ase9s1g02902,elg3s4g00983,aco40s9g00515,cs471s9g00888,afi49s1g04152,lc2s8g01340,cm170s1g01041,CdeChr26g00238,vvi161s18g01988,gbi44s11g00996,sgi44s2g01724,afi61s11g00089,,ppa60s18g00300
atr42s3g02125,nc476s12g00366,ive13g00326,agr8s5g01603,spo4s9g00504,abr7s2g01748,da480s16g00172,ase9s8g00874,elg3s4g01100,aco40s8g00804,cs471s6g01459,afi49s2g00831,lc2s8g01499,cm170s6g00544,CdeChr31g00183,vvi161s16g00247,,sgi44s6g01166,,,
atr42s5g00192,nc476s3g00169,ive12g00704,agr8s2g01159,spo4s8g00385,abr7s2g01815,da480s4g01646,ase9s1g01604,elg3s11g00625,aco40s3g00957,cs471s12g01080,afi49s1g01392,lc2s6g00590,cm170s11g01531,CdeChr14g00648,vvi161s4g00306,gbi44s9g00101,sgi44s5g01329,afi61s1747g00001,smo62s125g00045,
atr42s3g02048,nc476s12g01486,ive8g00209,agr8s5g01751,spo4s9g00552,abr7s2g01842,da480s4g01572,ase9s1g01175,elg3s4g01197,aco40s3g00991,cs471s6g01620,afi49s2g00814,lc2s8g01597,cm170s6g00616,CdeChr17g00426,vvi161s2g00883,gbi44s2g01578,sgi44s11g00391,afi61s112g00020,smo62s94g00058,ppa60s12g00752
atr42s7g00220,nc476s4g02109,ive2g01354,agr8s2g02080,spo4s20g00489,abr7s3g00044,da480s1g00045,ase9s2g01918,elg3s12g00922,aco40s25g00362,cs471s15g00964,afi49s4g00306,lc2s3g02150,cm170s3g02786,CdeChr42g00253,vvi161s7g00729,gbi44s3g01110,sgi44s10g00293,afi61s32g00152,smo62s22g00092,
atr42s3g01650,nc476s2g01448,ive9g00472,agr8s5g00108,spo4s2g00494,abr7s3g00150,da480s11g00660,ase9s2g01617,elg3s12g00622,aco40s22g00421,cs471s2g02857,afi49s1g04467,lc2s4g01267,cm170s9g01295,CdeChr10g00050,vvi161s17g00052,gbi44s3g02178,sgi44s10g00590,afi61s10g00113,smo62s89g00103,ppa60s11g00021
atr42s9g02342,nc476s2g02774,ive8g01014,agr8s5g00478,spo4s2g00658,abr7s3g00505,da480s11g00497,ase9s4g02737,elg3s12g00386,aco40s25g00025,cs471s2g02553,afi49s6g01623,lc2s4g01157,cm170s9g00725,CdeChr14g00118,vvi161s3g00132,gbi44s1g01553,sgi44s1g03103,afi61s100g00043,smo62s89g00093,ppa60s12g01113
atr42s9g02677,nc476s9g01712,ive8g00868,agr8s7g00743,spo4s20g00159,abr7s3g00664,da480s11g00122,ase9s1g02754,elg3s4g00790,aco40s3g00557,cs471s6g00915,afi49s2g00008,lc2s8g01102,cm170s7g01373,CdeChr1g00333,vvi161s2g00413,gbi44s4g01798,sgi44s11g02312,afi61s149g00060,smo62s111g00096,ppa60s13g00177
atr42s13g00109,nc476s12g01365,ive8g00423,agr8s7g00283,spo4s9g00452,abr7s3g00744,da480s11g00062,ase9s4g02915,elg3s12g00153,aco40s22g00143,cs471s6g01374,afi49s2g00495,lc2s8g01411,cm170s3g00429,CdeChr32g00198,vvi161s15g00440,gbi44s1g00437,sgi44s10g02564,afi61s472g00003,,ppa60s1g01918
atr42s3g00489,nc476s6g01015,ive2g00433,agr8s2g00303,spo4s9g00819,abr7s3g00762,da480s10g00956,ase9s10g00011,elg3s2g00509,aco40s20g00003,cs471s3g02515,afi49s1g00982,lc2s1g02478,cm170s5g00887,CdeChr33g00494,vvi161s13g01551,,,afi61s50g00035,smo62s6g00526,ppa60s5g00308
atr42s11g01002,nc476s1g01548,ive5g00833,agr8s3g00118,spo4s7g00489,abr7s3g01006,da480s5g00359,ase9s10g00727,elg3s9g00602,aco40s21g00469,cs471s10g00016,afi49s1g03328,lc2s4g01626,cm170s8g00417,CdeChr1g00143,vvi161s18g00331,gbi44s6g00352,sgi44sHRSCAF_1g00217,afi61s345g00016,smo62s1g00170,ppa60s15g00352
atr42s11g01797,nc476s1g00105,ive5g01322,agr8s6g00746,spo4s4g00953,abr7s3g01088,da480s5g00259,ase9s10g00334,elg3s9g00669,aco40s21g00434,cs471s10g00072,afi49s7g00875,lc2s4g01732,cm170s5g00189,CdeChr20g00460,vvi161s12g01041,gbi44s6g00591,sgi44s5g03126,afi61s335g00024,smo62s15g00176,ppa60s13g00713
atr42s11g02048,nc476s1g00246,ive5g01039,agr8s6g00823,spo4s4g00808,abr7s3g01122,da480s10g00475,ase9s7g01323,elg3s2g00772,aco40s17g00279,cs471s14g00020,afi49s1g01565,lc2s2g01438,cm170s9g01137,CdeChr21g00172,vvi161s18g01954,gbi44s7g01807,sgi44s3g00480,,smo62s25g00103,
atr42s11g02097,nc476s7g00281,ive7g01530,agr8s9g00651,spo4s7g00541,abr7s3g01155,da480s5g00535,ase9s10g00454,elg3s9g00512,aco40s17g00315,cs471s10g00004,afi49s1g01542,lc2s2g01457,cm170s8g00444,CdeChr33g00118,vvi161s18g01995,gbi44s11g01377,sgi44s11g01286,afi61s64g00100,smo62s31g00099,ppa60s14g00500
atr42s6g02123,nc476s3g01457,ive6g02499,agr8s8g01723,spo4s4g00941,abr7s3g01221,da480s5g00482,ase9s10g00610,elg3s9g00416,aco40s17g00370,cs471s11g00161,afi49s2g00215,lc2s3g01360,cm170s12g00776,CdeChr1g00443,vvi161s5g01492,gbi44s5g00121,sgi44s5g02873,,smo62s41g00154,ppa60s8g00188
atr42s6g02080,nc476s3g01483,ive1g03208,agr8s8g01704,spo4s4g00764,abr7s3g01231,da480s5g00492,ase9s10g00584,elg3s9g00402,aco40s17g00374,cs471s9g01328,afi49s4g01572,lc2s3g01401,cm170s12g00789,CdeChr9g00146,vvi161s5g01349,gbi44s9g01554,,,,
atr42s6g02361,nc476s9g00149,ive1g03255,agr8s2g00407,spo4s16g00205,abr7s3g01244,da480s5g00508,ase9s7g01769,elg3s9g00383,aco40s21g00343,cs471s9g01360,afi49s4g01615,lc2s3g01496,cm170s12g00813,CdeChr1g00430,vvi161s7g01234,,sgi44s6g02440,afi61s3g00347,smo62s130g00050,ppa60s19g00417
atr42s6g02375,nc476s9g00172,ive1g03278,agr8s8g01686,spo4s4g00751,abr7s3g01252,da480s10g00617,ase9s7g01763,elg3s9g00377,aco40s17g00388,cs471s9g01352,afi49s4g01635,lc2s3g01485,cm170s1g00170,CdeChr7g00333,vvi161s5g01266,gbi44s9g01417,,,,
atr42s7g00261,nc476s3g00167,ive1g03486,agr8s2g00439,spo4s7g00594,abr7s3g01277,da480s5g00382,ase9s7g01746,elg3s2g00892,aco40s21g00325,cs471s9g01430,afi49s4g01651,lc2s15g00278,cm170s1g00221,CdeChr22g00116,vvi161s14g01294,gbi44s9g02098,sgi44s1g00837,afi61s7g00187,,ppa60s24g00779
atr42s4g00806,nc476s8g00955,ive10g00756,agr8s1g02409,spo4s18g00252,abr7s3g01314,da480s19g01610,ase9s6g00806,elg3s7g00620,aco40s1g00485,cs471s3g01164,afi49s4g00314,lc2s4g01765,cm170s11g00615,CdeChr3g00248,vvi161s18g00410,gbi44s12g00240,,afi61s6g00603,,ppa60s19g00360
atr42s3g02229,nc476s7g00659,ive8g01017,agr8s8g02154,spo4s6g00813,abr7s3g01411,da480s12g00113,ase9s5g00223,elg3s4g00466,aco40s18g00295,cs471s7g00343,afi49s5g01471,lc2s9g00270,cm170s2g00558,CdeChr20g00691,vvi161s7g00450,,,,,
atr42s3g02957,nc476s1g01528,ive14g00854,agr8s8g00026,spo4s3g00028,abr7s3g01486,da480s19g00668,ase9s5g01480,elg3s3g01725,aco40s9g00413,cs471s4g01509,afi49s5g02014,lc2s11g00211,cm170s5g01444,CdeChr24g00476,vvi161s8g00131,gbi44s3g02196,sgi44s10g00621,afi61s231g00004,smo62s35g00289,ppa60s23g00048
atr42s13g00259,nc476s4g01749,ive8g00520,agr8s5g01466,spo4s2g00830,abr7s3g01535,da480s11g00181,ase9s4g03020,elg3s12g00283,aco40s22g00109,cs471s6g01255,afi49s2g00633,lc2s11g01145,cm170s3g02282,CdeChr8g00089,vvi161s15g00538,gbi44s10g01401,sgi44s9g02160,,,
atr42s4g02711,nc476s2g02349,ive9g00041,agr8s2g01515,spo4s4g00303,abr7s4g00006,da480s18g00724,ase9s6g01333,elg3s3g01249,aco40s1g00100,cs471s3g00647,afi49s3g02935,lc2s2g02176,cm170s3g03173,CdeChr25g00004,vvi161s17g00711,gbi44s11g00529,,afi61s102g00055,smo62s16g00071,ppa60s17g00651
atr42s6g01953,nc476s2g00671,ive1g03509,agr8s2g00534,spo4s4g00397,abr7s4g00433,da480s10g00432,ase9s10g00837,elg3s2g00932,aco40s20g00100,cs471s9g01600,afi49s4g01172,lc2s15g00359,cm170s1g00308,CdeChr7g00025,vvi161s17g00979,gbi44s4g00687,sgi44sHRSCAF_1g00692,afi61s290g00006,,ppa60s3g00839
atr42s2g02045,nc476s11g00522,ive5g02105,agr8s10g00015,spo4s5g00015,abr7s4g00535,da480s8g01632,ase9s2g00209,elg3s1g01982,aco40s9g00908,cs471s14g00703,afi49s2g01048,lc2s1g00445,cm170s5g00474,CdeChr16g00001,vvi161s19g00319,gbi44s7g00478,sgi44s4g02000,afi61s68g00031,smo62s9g00601,ppa60s13g00891
atr42s2g01819,nc476s1g02660,ive4g01782,agr8s4g00527,spo4s17g00051,abr7s4g00586,da480s15g01253,ase9s6g00215,elg3s1g01027,aco40s7g00965,cs471s5g01290,afi49s2g01147,lc2s1g00083,cm170s5g00412,CdeChr16g00127,vvi161s19g00367,,,,,
atr42s1g02339,nc476s11g00784,ive12g01710,agr8s1g00716,spo4s6g00691,abr7s4g00652,da480s6g00659,ase9s5g00392,elg3s14g00711,aco40s14g00416,cs471s14g00147,afi49s1g02454,lc2s10g00996,cm170s11g00289,CdeChr22g00325,vvi161s7g00209,gbi44s10g01072,,afi61s32g00120,smo62s1g00140,ppa60s15g00409
atr42s2g01068,nc476s1g01911,ive8g01578,agr8s4g00747,spo4s17g00292,abr7s4g00790,da480s8g01444,ase9s4g01170,elg3s10g00337,aco40s14g00064,cs471s6g00148,afi49s7g00323,lc2s1g00407,cm170s7g00467,CdeChr39g00561,vvi161s10g00119,gbi44s10g01116,sgi44s4g00519,afi61s678g00006,smo62s1g00432,ppa60s4g00192
atr42s3g02474,nc476s1g01211,ive2g00500,agr8s4g01561,spo4s1g01252,abr7s4g00933,da480s15g00503,ase9s6g02383,elg3s1g01306,aco40s9g00348,cs471s1g02005,afi49s1g01328,lc2s1g01492,cm170s9g00680,CdeChr27g00331,vvi161s13g00689,gbi44s12g01118,sgi44s1g04496,afi61s64g00051,smo62s67g00166,ppa60s13g00482
atr42s3g02750,nc476s2g01201,ive14g01061,agr8s2g00202,spo4s9g00933,abr7s4g01010,da480s8g01203,ase9s6g02002,elg3s1g01568,aco40s7g00366,cs471s4g00874,afi49s2g00271,lc2s8g00042,cm170s7g00929,CdeChr38g00369,vvi161s5g00525,gbi44s7g00155,,afi61s117g00051,smo62s101g00088,ppa60s17g00076
atr42s13g02191,nc476s3g02180,ive10g00022,agr8s6g01895,spo4s3g01013,abr7s4g01228,da480s8g00221,ase9s2g00918,elg3s1g01893,aco40s7g00173,cs471s7g01932,afi49s6g01703,lc2s16g00931,cm170s1g00555,CdeChr35g00564,vvi161s18g00835,gbi44s1g00048,,afi61s14g00060,smo62s11g00264,ppa60s8g00548
atr42s10g00196,nc476s7g00682,ive4g01398,agr8s7g01540,spo4s3g00859,abr7s4g01372,da480s8g00095,ase9s2g01090,elg3s1g01638,aco40s7g00056,cs471s7g01407,afi49s7g00820,lc2s16g00980,cm170s11g01179,CdeChr10g00229,vvi161s1g00065,gbi44s12g01829,sgi44s1g00365,afi61s108g00025,,ppa60s7g00202
atr42s10g00411,nc476s7g00518,ive4g02001,agr8s9g00991,spo4s3g00778,abr7s4g01435,da480s8g00039,ase9s9g01438,elg3s6g00232,aco40s9g00012,cs471s1g00258,afi49s7g00249,lc2s16g00261,cm170s11g00360,CdeChr27g00431,vvi161s17g00574,gbi44s1g01442,,afi61s272g00029,smo62s4g00167,ppa60s18g00130
atr42s1g02353,nc476s2g02948,ive12g01437,agr8s6g02341,spo4s17g00476,abr7s4g01482,da480s19g00219,ase9s5g00886,elg3s8g01216,aco40s2g00002,cs471s11g00062,afi49s3g01743,lc2s15g00027,cm170s8g01731,CdeChr11g00021,vvi161s4g00275,gbi44s8g01341,,afi61s3g00200,smo62s11g00354,ppa60s15g00943
atr42s3g02320,nc476s12g01543,ive8g00232,agr8s5g01711,spo4s11g00673,abr7s5g00077,da480s1g00932,ase9s4g03098,elg3s12g00354,aco40s24g00044,cs471s9g00726,afi49s2g02830,lc2s11g01362,cm170s6g01124,CdeChr31g00542,vvi161s15g00281,gbi44s12g00116,sgi44s2g03944,afi61s161g00013,smo62s1g01112,ppa60s18g00361
atr42s13g00040,nc476s12g01410,ive8g00391,agr8s5g01656,spo4s9g00567,abr7s5g00092,da480s11g00258,ase9s4g03082,elg3s16g00596,aco40s24g00050,cs471s6g01522,afi49s2g00589,lc2s8g01444,cm170s11g00461,CdeChr34g00293,vvi161s2g00822,gbi44s9g01777,sgi44s6g02960,,,ppa60s1g01203
atr42s4g01843,nc476s10g01090,ive10g00624,agr8s1g02372,spo4s3g00432,abr7s5g00316,da480s19g01584,ase9s6g02443,elg3s15g00166,aco40s6g00395,cs471s3g00955,afi49s3g02634,lc2s2g01681,cm170s3g00217,CdeChr4g00179,vvi161s18g00383,gbi44s10g01627,sgi44s9g02434,afi61s401g00018,,ppa60s18g00865
atr42s4g02218,nc476s8g01525,ive3g02508,agr8s4g02051,spo4s18g00266,abr7s5g00345,da480s19g01622,ase9s2g00217,elg3s3g00968,aco40s1g00523,cs471s3g01241,afi49s2g03339,lc2s7g00567,cm170s4g01728,CdeChr39g00445,vvi161s1g00460,gbi44s10g02053,sgi44s9g03052,afi61s45g00118,smo62s4g00246,ppa60s7g00695
atr42s4g00055,nc476s3g00027,ive1g03082,agr8s8g01831,spo4s4g00881,abr7s5g00462,da480s10g00520,ase9s10g00461,elg3s9g00487,aco40s17g00332,cs471s11g00011,afi49s4g00054,lc2s3g01157,cm170s12g00665,CdeChr7g00011,vvi161s7g01185,gbi44s8g00032,sgi44s2g02006,afi61s288g00021,smo62s11g00400,ppa60s23g00514
atr42s11g02026,nc476s1g00234,ive5g00983,agr8s9g00579,spo4s3g00530,abr7s5g00509,da480s10g00483,ase9s7g01305,elg3s9g00718,aco40s21g00409,cs471s14g00039,afi49s1g03335,lc2s2g01430,cm170s9g01131,CdeChr12g00396,vvi161s12g01473,gbi44s7g01968,sgi44s3g00284,afi61s73g00052,smo62s2g00712,ppa60s21g00647
atr42s13g00469,nc476s11g01120,ive4g03061,agr8s1g02515,spo4s4g00037,abr7s5g00541,da480s10g00458,ase9s10g00344,elg3s9g00680,aco40s21g00429,cs471s3g02132,afi49s5g00709,lc2s5g01354,cm170s2g01007,CdeChr11g00585,vvi161s11g00060,gbi44s8g02080,sgi44s6g03287,afi61s270g00016,smo62s135g00035,ppa60s6g00854
atr42s11g01544,nc476s1g00333,ive5g00790,agr8s9g00756,spo4s4g01029,abr7s5g00593,da480s5g00367,ase9s10g00715,elg3s9g00614,aco40s21g00465,cs471s8g00422,afi49s1g01692,lc2s2g01548,cm170s9g01207,CdeChr9g00291,vvi161s18g00288,,,,,
atr42s11g01233,nc476s12g00518,ive5g00637,agr8s3g00137,spo4s16g00115,abr7s5g00606,da480s5g00349,ase9s8g00617,elg3s2g00279,aco40s1g00807,cs471s14g01108,afi49s5g00876,lc2s12g00767,cm170s4g01579,CdeChr9g00326,vvi161s18g01436,gbi44s11g01243,,afi61s1869g00001,smo62s71g00033,ppa60s1g01040
atr42s11g01519,nc476s11g00144,ive5g00445,agr8s9g00349,spo4s4g01155,abr7s5g00666,da480s5g00292,ase9s10g00239,elg3s9g00791,aco40s17g00119,cs471s14g00166,afi49s5g00992,lc2s9g00770,cm170s4g00728,CdeChr1g00159,vvi161s18g01386,gbi44s6g00990,,afi61s7g00032,smo62s20g00310,ppa60s18g00667
