id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2,diff
13,1,10,7.0,17.0,1016.0,1061.0,0.0425,6,1.5528,1.78782,1.0,1.0,1.0,1.0,1.0,7_8_9_10_11_17,1016_1019_1021_1033_1038_1061,_-1_1.5528_1.1861_2.7913_2.2797_1.1292,0.5454545454545454,0.1304347826086956,1,1,1.0
16,1,11,488.0,504.0,1290.0,1320.0,0.0067,10,2.32935,2.46153,1.0,1.0,1.0,1.0,1.0,488_489_490_492_493_499_500_501_503_504,1290_1295_1296_1299_1309_1311_1315_1316_1318_1320,_3.9451_2.3595_3.3238_1.579_1.3089_2.8616_1.735_3.8167_2.2992_1.3865,0.5882352941176471,0.3225806451612903,1,1,1.0
17,1,12,2143.0,2088.0,1418.0,1551.0,0.0323,18,1.8894,1.847742857142857,0.9375,1.0,1.0,1.0,1.0,2143_2142_2137_2136_2135_2119_2116_2115_2113_2112_2111_2110_2106_2103_2097_2090_2089_2088,1418_1420_1421_1429_1434_1436_1442_1443_1444_1454_1459_1463_1471_1488_1504_1541_1546_1551,_2.0047_2.2725_1.3804_2.9407_1.884_-1_1.4969_-1_1.8548_2.0069_1.8948_0.8249_1.0156_2.9415_-1_-1_2.0604_1.2903,0.3214285714285714,0.1343283582089552,2,1,1.0
18,1,12,404.0,413.0,282.0,363.0,0.0241,8,1.4129,1.5392714285714286,1.0,1.0,1.0,1.0,1.0,404_405_406_407_408_411_412_413,282_285_319_321_322_352_353_363,_1.4829_1.4129_1.305_1.2086_2.2484_1.3257_1.7914_-1,0.8,0.0975609756097561,1,1,1.0
19,1,12,975.0,984.0,1306.0,1352.0,0.041,6,2.0167,2.05445,0.8,1.0,1.0,1.0,1.0,975_978_979_980_981_984,1306_1337_1341_1342_1349_1352,_1.4774_2.7467_-1_1.4377_-1_2.556,0.6,0.1276595744680851,1,1,1.0
20,1,12,2160.0,2153.0,371.0,405.0,0.0469,5,1.56885,1.803575,0.6,0.8,0.8,0.8,1.0,2160_2159_2158_2157_2153,371_372_390_398_405,_1.3534_1.4504_-1_1.6873_2.7232,0.625,0.1428571428571428,1,1,1.0
21,1,13,2281.0,2483.0,1765.0,2175.0,0.0431,68,1.8277,1.9529553571428568,0.8793103448275862,0.9310344827586208,0.9655172413793104,0.9655172413793104,1.0,2281_2282_2283_2284_2288_2305_2318_2319_2320_2321_2322_2327_2328_2329_2330_2331_2345_2346_2347_2348_2350_2352_2353_2355_2357_2358_2359_2360_2361_2372_2374_2375_2377_2388_2390_2391_2395_2399_2400_2403_2404_2405_2406_2407_2412_2413_2419_2420_2421_2422_2423_2424_2425_2426_2428_2430_2431_2432_2433_2434_2436_2438_2445_2455_2457_2458_2459_2483,1765_1766_1767_1769_1778_1816_1833_1835_1837_1838_1841_1847_1849_1850_1852_1857_1895_1898_1900_1902_1903_1909_1939_1948_1950_1952_1954_1955_1956_1957_1958_1959_1960_1965_1968_1979_1984_1991_1992_2001_2007_2008_2009_2012_2014_2023_2027_2029_2033_2036_2045_2046_2047_2050_2051_2054_2060_2064_2070_2073_2077_2078_2095_2107_2108_2144_2162_2175,_1.7578_1.9147_2.5457_1.184_1.0495_-1_1.9648_1.6167_1.3747_1.9956_1.4124_2.0868_3.2908_1.8784_3.2758_1.2427_1.8282_1.2907_2.2401_0.9655_2.552_4.219_-1_1.4263_1.8327_3.4353_2.0953_-1_-1_1.2294_2.1107_-1_1.373_2.0354_4.3543_1.3279_1.8272_1.3746_-1_2.0751_1.5849_-1_3.367_1.3431_1.6782_1.5044_2.1459_2.2332_1.3757_1.6676_1.4223_1.7767_1.5947_1.2907_-1_1.8327_2.0377_1.8465_2.5308_1.3145_-1_-1_1.6554_-1_2.9412_-1_1.24_2.7992,0.334975369458128,0.1654501216545012,1,1,0.5097560975609756
22,1,13,2271.0,2170.0,1432.0,1635.0,0.0387,39,1.747,1.94752,0.8064516129032258,0.9032258064516128,0.967741935483871,1.0,1.0,2271_2269_2268_2264_2263_2260_2258_2257_2256_2255_2254_2252_2250_2248_2244_2243_2238_2237_2236_2233_2230_2229_2225_2222_2221_2220_2219_2216_2215_2214_2195_2194_2193_2190_2189_2176_2175_2173_2170,1432_1433_1435_1446_1455_1469_1476_1495_1508_1513_1518_1519_1529_1532_1535_1555_1558_1562_1564_1568_1572_1574_1585_1588_1590_1601_1602_1606_1607_1608_1610_1611_1612_1623_1627_1631_1632_1634_1635,_-1_4.2398_2.8368_-1_3.0691_1.6264_1.2385_2.7021_2.6766_2.6385_1.3133_-1_-1_1.5835_1.6638_1.4574_-1_0.969_0.9458_1.5743_-1_1.8211_2.9233_-1_1.9294_-1_2.442_1.6729_2.1002_2.1988_1.0701_-1_1.851_1.2137_2.0218_1.5986_1.2102_2.9232_0.9144,0.3823529411764705,0.1911764705882352,1,1,1.0
23,1,13,509.0,556.0,2065.0,2193.0,0.0223,23,1.4419,1.711005263157895,1.0,1.0,1.0,1.0,1.0,509_510_511_512_517_527_528_529_537_538_539_541_542_543_547_548_549_550_552_553_554_555_556,2065_2073_2077_2078_2092_2122_2123_2127_2153_2154_2160_2163_2164_2165_2168_2169_2171_2177_2186_2187_2189_2191_2193,_1.3491_1.2976_1.876_-1_-1_-1_-1_1.5192_2.7557_1.3222_1.309_1.213_1.9416_1.3438_1.4419_1.6794_3.2473_2.0203_1.3296_2.3842_1.4278_1.7148_1.3366,0.4791666666666667,0.1782945736434108,1,1,1.0
27,1,13,533.0,524.0,2117.0,2138.0,0.2618,5,1.3741,1.7858600000000002,1.0,1.0,1.0,1.0,1.0,533_532_531_530_524,2117_2118_2119_2120_2138,_1.3741_1.5933_0.9925_1.2351_3.7343,0.5,0.2272727272727272,1,1,1.0
30,1,13,1563.0,1584.0,2132.0,2169.0,0.1882,5,2.298,2.8952000000000004,0.5,1.0,1.0,1.0,1.0,1563_1564_1565_1573_1584,2132_2142_2151_2164_2169,_4.2562_-1_2.298_-1_2.1314,0.2272727272727272,0.131578947368421,2,1,1.0
31,1,2,2208.0,2196.0,894.0,901.0,0.0384,5,2.0849,2.36762,0.6,0.6,0.6,0.8,1.0,2208_2206_2205_2203_2196,894_895_896_899_901,_3.5963_2.0849_2.1347_1.9589_2.0633,0.3846153846153846,0.625,1,1,1.0
32,1,2,2213.0,2205.0,894.0,901.0,0.0779,5,1.9547,2.27776,0.4,0.4,0.6,0.8,1.0,2213_2212_2209_2208_2205,894_895_896_899_901,_3.3256_1.7127_1.797_2.5988_1.9547,0.5555555555555556,0.625,1,1,1.0
35,1,2,1292.0,1253.0,2071.0,2089.0,0.2063,5,2.45025,2.75875,0.0,0.4,0.6,0.8,1.0,1292_1259_1258_1255_1253,2071_2074_2085_2087_2089,_2.6357_1.9431_2.2648_4.1914_-1,0.125,0.2631578947368421,1,1,1.0
37,1,3,2017.0,1875.0,113.0,760.0,0.026,83,1.7316,1.7805194805194813,0.8472222222222222,0.9305555555555556,0.9722222222222222,1.0,1.0,2017_2016_2014_2013_2012_2011_2009_2008_2007_2005_2004_2003_2001_1998_1997_1996_1993_1992_1990_1988_1987_1986_1984_1983_1981_1979_1978_1977_1976_1975_1974_1973_1972_1971_1968_1967_1965_1964_1963_1962_1960_1959_1957_1955_1954_1953_1950_1948_1947_1944_1943_1942_1941_1939_1938_1936_1935_1934_1933_1930_1928_1924_1920_1919_1918_1917_1916_1913_1912_1911_1910_1909_1908_1906_1905_1904_1899_1896_1891_1889_1884_1880_1875,113_114_136_137_145_155_159_169_174_184_186_190_209_230_243_258_263_264_270_273_292_296_306_310_311_312_313_318_319_327_330_336_365_370_372_374_388_392_402_403_415_418_431_437_443_444_447_449_456_475_479_480_490_492_502_516_522_534_544_547_563_581_596_601_610_613_615_620_624_633_635_655_656_658_662_663_668_673_682_714_730_737_760,_1.1566_1.8291_1.7775_-1_1.7324_1.56_2.015_2.2731_1.3164_1.3625_-1_1.3282_1.3118_2.1648_2.4828_1.7211_1.3462_1.3128_2.0132_1.4821_3.6485_1.9591_-1_2.2033_1.3727_1.6539_1.3265_2.8416_3.2843_1.778_2.258_1.6872_1.4364_1.2457_2.0344_1.8971_-1_1.1596_1.3699_1.5301_1.8726_1.154_2.0005_2.3264_1.1879_1.8466_1.3834_1.5264_3.2897_1.3709_2.2705_1.8171_1.7811_2.6131_1.7196_1.1073_-1_1.2124_2.942_2.2002_1.7316_1.2085_1.5277_1.4652_2.345_2.3906_1.4136_1.2019_1.3594_1.7772_0.9465_1.9052_1.4563_2.0702_1.2406_2.4777_-1_1.7402_1.9227_1.7613_1.6162_1.1509_1.8979,0.5804195804195804,0.1280864197530864,2,1,1.0
38,1,3,958.0,818.0,89.0,635.0,0.028,80,1.68975,1.9156681818181824,0.8823529411764706,0.9558823529411764,0.9852941176470588,1.0,1.0,958_957_951_950_949_948_947_946_945_944_943_942_940_938_935_934_933_930_928_927_926_922_921_915_914_910_909_907_906_905_893_888_887_884_883_882_881_879_877_876_875_874_873_872_871_869_868_867_864_862_861_860_858_857_855_853_852_851_849_848_846_845_844_842_841_840_838_835_834_832_829_827_826_825_823_822_821_820_819_818,89_91_93_95_97_98_99_105_106_107_109_111_113_114_116_119_128_136_138_139_141_155_158_186_191_199_219_221_225_226_239_252_264_273_277_291_292_297_306_310_313_318_327_329_336_364_365_372_388_401_414_415_426_437_447_462_467_479_492_495_531_532_534_543_547_548_550_563_570_581_588_596_601_607_610_616_618_620_633_635,_3.955_2.4812_1.8284_2.5108_1.3498_1.8344_1.7234_2.923_3.282_1.4575_-1_1.6621_0.9989_1.21_1.2371_1.1502_1.7374_2.1311_1.3229_1.9731_1.5975_1.5193_-1_3.7283_2.5325_1.0644_-1_-1_-1_-1_-1_1.0849_1.3581_1.7537_-1_1.4103_2.7735_1.5781_-1_-1_1.1029_3.6395_2.0141_1.9706_1.369_-1_1.3555_4.1538_3.4519_1.2527_1.1686_2.7399_2.9873_1.609_1.4711_2.1597_-1_1.2846_4.5998_2.0424_1.7183_-1_1.0475_1.489_2.6353_1.7174_2.2342_1.8593_1.8522_1.0457_2.1717_1.5436_1.2518_1.8614_-1_1.1612_1.4082_1.2114_1.6182_1.0664,0.5673758865248227,0.1462522851919561,1,1,1.0
39,1,3,959.0,972.0,16.0,43.0,0.002,12,1.451,2.115375,1.0,1.0,1.0,1.0,1.0,959_960_961_962_964_965_966_967_969_970_971_972,16_19_20_21_22_23_27_34_35_36_40_43,_-1_5.4575_1.7882_-1_2.849_-1_1.3838_1.3408_1.2458_-1_1.3397_1.5182,0.8571428571428571,0.4285714285714285,1,1,1.0
40,1,3,1861.0,1872.0,2535.0,2565.0,0.0109,8,1.3752,1.48326,0.8571428571428571,1.0,1.0,1.0,1.0,1861_1863_1864_1865_1866_1868_1869_1872,2535_2547_2552_2553_2557_2559_2560_2565,_2.0007_-1_1.2911_1.4442_1.3051_-1_-1_1.3752,0.6666666666666666,0.2580645161290322,2,1,1.0
41,1,3,894.0,907.0,205.0,228.0,0.1836,8,2.4481,2.56002,0.4,0.8,1.0,1.0,1.0,894_895_896_898_902_903_906_907,205_209_210_217_219_225_226_228,_3.6736_1.5271_0.8712_-1_4.2801_-1_-1_2.4481,0.5714285714285714,0.3333333333333333,1,1,1.0
43,1,3,1877.0,1858.0,2394.0,2446.0,0.049,7,1.8876,1.96306,1.0,1.0,1.0,1.0,1.0,1877_1876_1873_1871_1865_1859_1858,2394_2395_2409_2421_2444_2445_2446,_2.4371_2.6606_-1_1.3269_1.8876_1.5031_-1,0.35,0.1320754716981132,2,1,1.0
45,1,3,3339.0,3270.0,1966.0,2100.0,0.1529,10,1.99925,1.97855,0.5555555555555556,1.0,1.0,1.0,1.0,3339_3333_3320_3308_3305_3290_3286_3280_3271_3270,1966_1990_2018_2026_2044_2047_2061_2064_2094_2100,_-1_-1_1.7801_-1_2.0373_2.4156_2.3105_1.3666_1.9612_-1,0.1428571428571428,0.074074074074074,4,1,1.0
46,1,3,852.0,798.0,673.0,760.0,0.2399,8,1.8921,2.2870125,0.7142857142857143,1.0,1.0,1.0,1.0,852_815_814_813_812_811_806_798,673_677_706_720_721_722_736_760,_5.1038_1.599_1.1993_1.8034_1.0002_2.8438_1.9808_2.7658,0.1454545454545454,0.0909090909090909,1,1,1.0
47,1,3,2400.0,2429.0,16.0,47.0,0.0829,5,2.95255,2.95255,0.25,0.75,0.75,1.0,1.0,2400_2419_2421_2428_2429,16_19_27_43_47,_-1_4.5657_1.3394_-1_-1,0.1666666666666666,0.15625,1,1,1.0
48,1,3,235.0,153.0,301.0,357.0,0.2655,5,1.8243,1.8243,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,235_206_202_184_153,301_310_338_345_357,_-1_-1_-1_1.8714_1.7772,0.0602409638554216,0.087719298245614,1,1,1.0
49,1,4,3382.0,3266.0,64.0,480.0,0.0248,71,1.837,2.094250980392157,0.7833333333333333,0.9333333333333332,0.9833333333333332,1.0,1.0,3382_3379_3378_3377_3376_3375_3362_3361_3360_3359_3358_3357_3356_3354_3353_3352_3351_3350_3349_3348_3347_3345_3344_3341_3340_3338_3337_3336_3335_3334_3329_3328_3327_3326_3325_3324_3323_3322_3320_3319_3317_3316_3312_3311_3310_3309_3307_3306_3303_3301_3299_3290_3289_3288_3287_3286_3285_3281_3280_3278_3277_3276_3275_3273_3272_3271_3270_3269_3268_3267_3266,64_66_81_90_95_113_119_123_124_144_146_147_149_154_169_172_179_180_184_194_204_233_234_242_246_249_250_251_253_265_271_276_279_288_299_303_307_311_318_319_320_325_333_334_335_336_345_346_348_358_359_365_371_373_378_385_387_419_429_430_432_434_436_459_462_463_467_468_472_477_480,_1.6938_-1_-1_1.0217_1.2846_-1_1.5847_1.2159_-1_2.5354_1.9335_2.6581_1.7497_1.5151_1.4695_2.0193_-1_1.5052_-1_1.1172_-1_3.5605_-1_1.8274_1.4829_4.4122_2.0047_-1_1.3132_1.5915_1.4674_4.2493_1.4774_5.2412_-1_1.8962_2.5049_1.3639_1.9939_1.4103_1.8896_1.7841_-1_3.1281_1.837_1.8233_2.1461_1.6164_1.33_1.8535_1.9327_-1_-1_2.648_-1_1.9571_-1_-1_1.0334_1.6056_-1_-1_-1_-1_2.2696_2.3249_2.4744_4.8695_2.4026_1.6015_3.1788,0.6068376068376068,0.1702637889688249,4,1,1.0
50,1,4,3247.0,3231.0,2247.0,2276.0,0.0107,10,1.7155,1.6837222222222223,1.0,1.0,1.0,1.0,1.0,3247_3245_3241_3240_3239_3238_3237_3236_3234_3231,2247_2250_2259_2261_2262_2263_2264_2267_2269_2276,_1.5145_2.9479_1.9847_1.7985_0.9982_-1_1.2484_1.8802_1.7155_1.0656,0.5882352941176471,0.3333333333333333,4,1,1.0
51,1,4,3173.0,3185.0,2185.0,2245.0,0.0133,10,2.0787,2.4119333333333333,1.0,1.0,1.0,1.0,1.0,3173_3174_3176_3177_3178_3179_3182_3183_3184_3185,2185_2187_2194_2215_2222_2223_2231_2236_2244_2245,_-1_2.3426_-1_-1_1.4543_1.8009_3.0675_3.9915_-1_1.8148,0.7692307692307693,0.1639344262295081,4,1,1.0
52,1,4,3364.0,3374.0,98.0,113.0,0.0156,10,1.5552,1.8309500000000003,1.0,1.0,1.0,1.0,1.0,3364_3365_3366_3367_3368_3370_3371_3372_3373_3374,98_99_100_101_103_106_107_108_109_113,_1.572_1.2496_-1_-1_2.0674_-1_1.5384_1.4047_-1_3.1536,0.9090909090909092,0.625,4,1,1.0
53,1,4,3296.0,3253.0,1519.0,1622.0,0.1378,11,1.8264,1.8296,0.625,0.875,0.875,1.0,1.0,3296_3292_3265_3261_3260_3259_3258_3257_3256_3255_3253,1519_1520_1551_1560_1564_1583_1591_1593_1603_1612_1622,_-1_-1_1.6296_1.9536_2.5061_-1_0.9997_-1_-1_1.6992_2.1894,0.25,0.1057692307692307,4,1,1.0
54,1,4,3158.0,3166.0,2111.0,2139.0,0.0161,7,1.9594,2.042414285714285,1.0,1.0,1.0,1.0,1.0,3158_3160_3161_3162_3164_3165_3166,2111_2113_2114_2115_2137_2138_2139,_1.3952_1.3907_1.9594_3.2045_1.6581_2.6528_2.0362,0.7777777777777778,0.2413793103448276,4,1,1.0
56,1,4,3172.0,3200.0,1603.0,1659.0,0.1456,6,2.3464,2.50044,0.75,1.0,1.0,1.0,1.0,3172_3188_3190_3191_3192_3200,1603_1630_1633_1634_1657_1659,_1.3772_-1_4.6066_2.4195_1.7525_2.3464,0.2068965517241379,0.1052631578947368,4,1,1.0
57,1,4,3101.0,3121.0,2671.0,2704.0,0.0918,5,2.0905,2.3343800000000003,0.4,1.0,1.0,1.0,1.0,3101_3114_3115_3116_3121,2671_2691_2701_2702_2704,_3.4808_2.0905_1.9146_2.2986_1.8874,0.238095238095238,0.1470588235294117,4,1,1.0
59,1,5,620.0,790.0,6.0,585.0,0.0409,77,1.6767,1.7761632352941172,0.90625,0.953125,0.984375,1.0,1.0,620_624_625_626_627_628_629_630_633_635_637_638_639_640_641_642_643_644_646_649_652_653_654_655_656_657_658_659_660_663_664_665_673_674_675_676_677_678_679_681_682_684_686_690_693_694_695_696_697_698_699_703_704_706_707_708_709_710_713_714_715_719_720_723_724_725_726_727_733_734_735_736_737_751_756_773_790,6_18_20_27_28_31_34_41_43_45_48_52_54_57_61_62_63_71_85_93_107_108_118_130_135_150_151_152_170_185_189_209_212_214_219_222_235_236_241_259_287_296_310_317_318_328_336_354_356_366_386_387_389_409_411_416_417_423_425_426_427_432_434_443_444_452_477_492_501_502_505_532_533_549_558_580_585,_2.7303_1.5265_1.0993_1.9389_1.3647_2.6031_0.9603_1.6821_2.0854_1.7159_1.4148_1.8211_1.5727_-1_1.812_4.684_1.385_1.6756_1.2824_2.3472_1.3327_1.2678_1.6778_2.4125_1.9143_1.6261_3.3165_-1_-1_1.375_2.8609_2.3248_1.3574_1.6904_-1_1.3631_1.0681_1.6971_1.427_1.2561_2.0062_1.0482_1.2138_1.102_-1_-1_1.8352_2.7235_-1_1.7636_1.4309_1.3794_1.3661_1.6947_2.4421_1.866_1.2309_1.132_1.8423_-1_1.5082_2.4781_1.7382_2.6514_1.0071_2.3103_1.817_1.219_-1_1.6338_1.1354_1.5941_2.3503_1.585_1.1544_2.2732_2.5778,0.4502923976608187,0.1327586206896551,1,1,1.0
60,1,5,1565.0,1844.0,6.0,563.0,0.0651,78,1.6866,1.80126231884058,0.9090909090909092,0.9545454545454546,0.9848484848484848,1.0,1.0,1565_1568_1570_1573_1574_1578_1579_1581_1583_1584_1586_1610_1612_1613_1614_1615_1618_1619_1622_1624_1626_1629_1630_1631_1636_1637_1638_1640_1641_1644_1645_1646_1651_1656_1659_1660_1667_1676_1682_1683_1684_1685_1686_1688_1689_1690_1693_1699_1703_1704_1705_1707_1708_1709_1711_1714_1715_1716_1718_1752_1755_1765_1766_1769_1770_1771_1773_1775_1777_1779_1780_1783_1788_1789_1791_1801_1807_1844,6_20_24_27_30_32_34_36_38_39_43_44_45_46_47_58_63_70_71_85_95_96_108_112_117_129_130_131_133_134_137_138_146_173_175_187_202_212_221_222_226_228_233_236_240_242_245_254_256_258_262_266_270_272_278_282_283_287_304_318_354_386_390_411_417_419_423_425_427_433_434_465_467_492_523_549_558_563,_-1_1.1806_1.5808_2.2523_1.1975_1.807_1.0859_0.9009_1.5373_3.9806_2.4355_1.334_1.3471_-1_2.1668_-1_1.3728_2.2191_1.9541_1.1471_1.8438_2.2541_1.6795_1.303_1.6177_2.3797_2.4752_1.1088_2.5537_-1_2.7926_2.1854_1.6866_-1_3.087_0.9446_1.2327_1.506_1.4344_1.494_-1_2.5952_1.4107_1.9176_2.0725_1.9779_1.2416_1.3092_3.2749_-1_3.6633_2.42_2.0546_1.4264_1.8878_2.4334_-1_2.1028_1.361_-1_2.1142_1.4569_2.1127_1.764_1.8719_1.0372_1.3877_1.8489_1.1853_1.9454_1.4712_1.333_0.8372_1.7237_1.852_1.5108_1.1051_1.5028,0.2785714285714286,0.1397849462365591,2,1,1.0
61,1,5,1878.0,1816.0,543.0,672.0,0.2061,15,1.6567,1.979309090909091,0.7692307692307693,0.9230769230769232,0.9230769230769232,1.0,1.0,1878_1843_1842_1838_1836_1830_1829_1828_1827_1826_1825_1824_1823_1820_1816,543_576_583_595_598_601_606_611_626_637_641_644_663_671_672,_3.7968_0.9672_1.3578_-1_3.3322_-1_1.348_2.0854_1.6567_3.0426_-1_-1_1.7862_1.0501_1.3494,0.238095238095238,0.1153846153846153,2,1,1.0
62,1,5,594.0,616.0,1722.0,1770.0,0.0104,12,1.6395,1.9692545454545447,0.9166666666666666,1.0,1.0,1.0,1.0,594_599_600_601_602_606_608_609_610_611_612_616,1722_1736_1740_1742_1743_1745_1748_1752_1757_1758_1759_1770,_1.6395_-1_2.6347_1.4791_2.2486_5.296_1.7679_1.1564_1.9226_0.9036_1.461_1.1524,0.5217391304347826,0.2448979591836734,1,1,1.0
63,1,5,1764.0,1753.0,318.0,362.0,0.058,10,1.3299,1.4130571428571428,1.0,1.0,1.0,1.0,1.0,1764_1763_1762_1761_1760_1759_1758_1756_1754_1753,318_321_322_325_328_330_331_336_359_362,_-1_1.3326_1.2795_1.1014_-1_-1_1.7216_1.9704_1.3299_1.156,0.8333333333333334,0.2222222222222222,2,1,1.0
66,1,5,1508.0,1530.0,1381.0,1455.0,0.0774,8,1.5002,1.81722,0.8333333333333334,1.0,1.0,1.0,1.0,1508_1509_1510_1513_1516_1517_1526_1530,1381_1382_1384_1407_1428_1439_1449_1455,_1.0048_-1_-1_1.4458_1.9433_-1_1.5002_3.192,0.3478260869565217,0.1066666666666666,2,1,1.0
67,1,5,570.0,593.0,1211.0,1419.0,0.0995,10,1.86475,1.91365,0.7142857142857143,1.0,1.0,1.0,1.0,570_575_577_582_584_586_587_588_591_593,1211_1238_1271_1308_1330_1368_1382_1384_1401_1419,_1.7754_1.9122_2.4473_1.8173_1.3995_1.4239_-1_-1_2.4473_2.0863,0.4166666666666667,0.0478468899521531,1,1,1.0
69,1,5,1537.0,1551.0,1745.0,1770.0,0.0633,5,1.6441,2.36622,0.6666666666666666,1.0,1.0,1.0,1.0,1537_1544_1547_1548_1551,1745_1756_1767_1768_1770,_1.6441_2.5767_1.5116_5.0135_1.0852,0.3333333333333333,0.1923076923076923,2,1,1.0
